time_ms,prop_valve_ma,sol_valve_trig
0.00,12.00,1
1.00,12.00,1
2.00,12.00,1
3.00,12.00,1
4.00,12.00,1
5.00,12.00,1
6.00,12.00,1
7.00,12.00,1
8.00,12.00,1
9.00,12.00,1
10.00,12.00,1
11.00,12.80,1
12.00,13.60,1
13.00,14.20,1
14.00,15.00,1
15.00,15.80,1
16.00,16.60,1
17.00,17.20,1
18.00,18.00,1
19.00,18.80,1
20.00,19.60,1
21.00,20.00,1
22.00,20.00,1
23.00,20.00,1
24.00,20.00,1
25.00,19.75,1
26.00,19.75,1
27.00,19.75,1
28.00,19.75,1
29.00,19.69,1
30.00,19.69,1
31.00,19.69,1
32.00,19.69,1
33.00,19.69,1
34.00,19.69,1
35.00,19.69,1
36.00,19.69,1
37.00,19.60,1
38.00,19.60,1
39.00,19.60,1
40.00,19.57,1
41.00,19.53,1
42.00,19.50,1
43.00,19.46,1
44.00,19.45,1
45.00,19.45,1
46.00,19.45,1
47.00,19.30,1
48.00,19.30,1
49.00,19.30,1
50.00,19.23,1
51.00,19.23,1
52.00,19.23,1
53.00,19.23,1
54.00,19.08,1
55.00,19.08,1
56.00,19.08,1
57.00,18.91,1
58.00,18.91,1
59.00,18.91,1
60.00,18.91,1
61.00,18.83,1
62.00,18.82,1
63.00,18.80,1
64.00,18.78,1
65.00,18.68,1
66.00,18.66,1
67.00,18.64,1
68.00,18.54,1
69.00,18.54,1
70.00,18.54,1
71.00,18.54,1
72.00,18.48,1
73.00,18.48,1
74.00,18.48,1
75.00,18.39,1
76.00,18.39,1
77.00,18.39,1
78.00,18.30,1
79.00,18.30,1
80.00,18.30,1
81.00,18.30,1
82.00,18.30,1
83.00,18.30,1
84.00,18.30,1
85.00,18.17,1
86.00,18.17,1
87.00,18.17,1
88.00,18.17,1
89.00,18.09,1
90.00,18.09,1
91.00,18.09,1
92.00,18.09,1
93.00,18.02,1
94.00,18.02,1
95.00,18.02,1
96.00,17.94,1
97.00,17.94,1
98.00,17.94,1
99.00,17.94,1
100.00,17.94,1
101.00,17.94,1
102.00,17.94,1
103.00,17.87,1
104.00,17.87,1
105.00,17.87,1
106.00,17.78,1
107.00,17.78,1
108.00,17.78,1
109.00,17.78,1
110.00,17.78,1
111.00,17.78,1
112.00,17.78,1
113.00,17.70,1
114.00,17.70,1
115.00,17.70,1
116.00,17.70,1
117.00,17.63,1
118.00,17.63,1
119.00,17.63,1
120.00,17.63,1
121.00,17.62,1
122.00,17.60,1
123.00,17.58,1
124.00,17.57,1
125.00,17.57,1
126.00,17.57,1
127.00,17.57,1
128.00,17.48,1
129.00,17.48,1
130.00,17.48,1
131.00,17.42,1
132.00,17.42,1
133.00,17.42,1
134.00,17.41,1
135.00,17.39,1
136.00,17.37,1
137.00,17.35,1
138.00,17.33,1
139.00,17.33,1
140.00,17.33,1
141.00,17.26,1
142.00,17.26,1
143.00,17.26,1
144.00,17.26,1
145.00,17.18,1
146.00,17.18,1
147.00,17.18,1
148.00,17.18,1
149.00,17.09,1
150.00,17.09,1
151.00,17.09,1
152.00,17.03,1
153.00,17.03,1
154.00,17.03,1
155.00,17.03,1
156.00,16.96,1
157.00,16.96,1
158.00,16.96,1
159.00,16.96,1
160.00,16.93,1
161.00,16.90,1
162.00,16.87,1
163.00,16.87,1
164.00,16.87,1
165.00,16.87,1
166.00,16.87,1
167.00,16.85,1
168.00,16.83,1
169.00,16.81,1
170.00,16.81,1
171.00,16.81,1
172.00,16.81,1
173.00,16.72,1
174.00,16.72,1
175.00,16.72,1
176.00,16.72,1
177.00,16.72,1
178.00,16.72,1
179.00,16.72,1
180.00,16.72,1
181.00,16.66,1
182.00,16.66,1
183.00,16.66,1
184.00,16.66,1
185.00,16.66,1
186.00,16.66,1
187.00,16.66,1
188.00,16.57,1
189.00,16.57,1
190.00,16.57,1
191.00,16.57,1
192.00,16.57,1
193.00,16.57,1
194.00,16.57,1
195.00,16.57,1
196.00,16.57,1
197.00,16.57,1
198.00,16.57,1
199.00,16.57,1
200.00,16.57,1
201.00,16.57,1
202.00,16.55,1
203.00,16.53,1
204.00,16.51,1
205.00,16.49,1
206.00,16.48,1
207.00,16.48,1
208.00,16.48,1
209.00,16.42,1
210.00,16.42,1
211.00,16.42,1
212.00,16.42,1
213.00,16.42,1
214.00,16.42,1
215.00,16.42,1
216.00,16.42,1
217.00,16.42,1
218.00,16.42,1
219.00,16.42,1
220.00,16.42,1
221.00,16.42,1
222.00,16.42,1
223.00,16.35,1
224.00,16.35,1
225.00,16.35,1
226.00,16.35,1
227.00,16.35,1
228.00,16.35,1
229.00,16.35,1
230.00,16.34,1
231.00,16.32,1
232.00,16.30,1
233.00,16.28,1
234.00,16.27,1
235.00,16.27,1
236.00,16.27,1
237.00,16.27,1
238.00,16.27,1
239.00,16.27,1
240.00,16.27,1
241.00,16.27,1
242.00,16.27,1
243.00,16.27,1
244.00,16.27,1
245.00,16.27,1
246.00,16.27,1
247.00,16.27,1
248.00,16.27,1
249.00,16.27,1
250.00,16.27,1
251.00,16.20,1
252.00,16.20,1
253.00,16.20,1
254.00,16.20,1
255.00,16.20,1
256.00,16.20,1
257.00,16.20,1
258.00,16.12,1
259.00,16.12,1
260.00,16.12,1
261.00,16.12,1
262.00,16.11,1
263.00,16.08,1
264.00,16.06,1
265.00,16.05,1
266.00,16.05,1
267.00,16.05,1
268.00,16.05,1
269.00,16.04,1
270.00,16.01,1
271.00,15.98,1
272.00,15.97,1
273.00,15.97,1
274.00,15.97,1
275.00,15.88,1
276.00,15.88,1
277.00,15.88,1
278.00,15.88,1
279.00,15.88,1
280.00,15.88,1
281.00,15.88,1
282.00,15.87,1
283.00,15.86,1
284.00,15.84,1
285.00,15.82,1
286.00,15.81,1
287.00,15.81,1
288.00,15.81,1
289.00,15.81,1
290.00,15.75,1
291.00,15.75,1
292.00,15.75,1
293.00,15.66,1
294.00,15.64,1
295.00,15.63,1
296.00,15.61,1
297.00,15.59,1
298.00,15.56,1
299.00,15.53,1
300.00,15.51,1
301.00,15.51,1
302.00,15.51,1
303.00,15.45,1
304.00,15.45,1
305.00,15.45,1
306.00,15.45,1
307.00,15.35,1
308.00,15.32,1
309.00,15.30,1
310.00,15.27,1
311.00,15.27,1
312.00,15.27,1
313.00,15.27,1
314.00,15.14,1
315.00,15.12,1
316.00,15.10,1
317.00,15.07,1
318.00,15.06,1
319.00,15.06,1
320.00,15.06,1
321.00,14.90,1
322.00,14.90,1
323.00,14.90,1
324.00,14.90,1
325.00,14.90,1
326.00,14.88,1
327.00,14.86,1
328.00,14.75,1
329.00,14.75,1
330.00,14.75,1
331.00,14.67,1
332.00,14.67,1
333.00,14.67,1
334.00,14.67,1
335.00,14.54,1
336.00,14.54,1
337.00,14.54,1
338.00,14.38,1
339.00,14.36,1
340.00,14.34,1
341.00,14.32,1
342.00,14.30,1
343.00,14.30,1
344.00,14.30,1
345.00,14.30,1
346.00,14.30,1
347.00,14.23,1
348.00,14.23,1
349.00,14.23,1
350.00,14.06,1
351.00,14.06,1
352.00,14.06,1
353.00,14.06,1
354.00,13.93,1
355.00,13.93,1
356.00,13.93,1
357.00,13.84,1
358.00,13.84,1
359.00,13.84,1
360.00,13.69,1
361.00,13.69,1
362.00,13.69,1
363.00,13.69,1
364.00,13.63,1
365.00,13.63,1
366.00,13.63,1
367.00,13.54,1
368.00,13.54,1
369.00,13.54,1
370.00,13.54,1
371.00,13.44,1
372.00,13.42,1
373.00,13.41,1
374.00,13.39,1
375.00,13.32,1
376.00,13.32,1
377.00,13.32,1
378.00,13.31,1
379.00,13.29,1
380.00,13.26,1
381.00,13.24,1
382.00,13.17,1
383.00,13.17,1
384.00,13.17,1
385.00,13.15,1
386.00,13.12,1
387.00,13.09,1
388.00,13.09,1
389.00,13.09,1
390.00,13.09,1
391.00,13.09,1
392.00,13.02,1
393.00,13.02,1
394.00,13.02,1
395.00,12.94,1
396.00,12.94,1
397.00,12.94,1
398.00,12.94,1
399.00,12.94,1
400.00,12.94,1
401.00,12.94,1
402.00,12.94,1
403.00,12.85,1
404.00,12.85,1
405.00,12.85,1
406.00,12.78,1
407.00,12.78,1
408.00,12.78,1
409.00,12.78,1
410.00,12.78,1
411.00,12.78,1
412.00,12.78,1
413.00,12.72,1
414.00,12.72,1
415.00,12.72,1
416.00,12.72,1
417.00,12.72,1
418.00,12.72,1
419.00,12.72,1
420.00,12.63,1
421.00,12.63,1
422.00,12.63,1
423.00,12.63,1
424.00,12.63,1
425.00,12.63,1
426.00,12.63,1
427.00,12.57,1
428.00,12.57,1
429.00,12.57,1
430.00,12.57,1
431.00,12.57,1
432.00,12.57,1
433.00,12.57,1
434.00,12.48,1
435.00,12.48,1
436.00,12.48,1
437.00,12.48,1
438.00,12.47,1
439.00,12.45,1
440.00,12.43,1
441.00,12.42,1
442.00,12.42,1
443.00,12.42,1
444.00,12.42,1
445.00,12.42,1
446.00,12.42,1
447.00,12.42,1
448.00,12.33,1
449.00,12.33,1
450.00,12.33,1
451.00,12.24,1
452.00,12.24,1
453.00,12.24,1
454.00,12.24,1
455.00,12.24,1
456.00,12.22,1
457.00,12.20,1
458.00,12.19,1
459.00,12.18,1
460.00,12.18,1
461.00,12.18,1
462.00,12.18,1
463.00,12.18,1
464.00,12.18,1
465.00,12.18,1
466.00,12.11,1
467.00,12.11,1
468.00,12.11,1
469.00,12.11,1
470.00,12.11,1
471.00,12.11,1
472.00,12.03,1
473.00,12.03,1
474.00,12.03,1
475.00,12.03,1
476.00,12.03,1
477.00,12.03,1
478.00,12.03,1
479.00,12.02,1
480.00,12.00,1
481.00,12.00,1
482.00,12.00,1
483.00,12.00,1
484.00,12.00,1
485.00,12.00,1
486.00,12.00,1
487.00,12.00,1
488.00,12.00,1
489.00,12.00,1
490.00,12.00,1
491.00,12.00,1
492.00,12.00,1
493.00,12.00,1
494.00,12.00,1
495.00,12.00,1
496.00,12.00,1
497.00,12.00,1
498.00,12.00,1
499.00,12.00,1